FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,250,0,0,0,4,0,0,0,Liverpool,Leicester,Stoke,West Brom,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,2,3,0.1,2.12765957446809E-08,6.38297872340426E-07,0,3294,2,2,0,0,0,0,0,0.6,134,-3,0,3,3,0.2,0,1,0,0,0,0,0,0.1,1064,0,109,0,0,141,292,0,0,6,West Ham,Bournemouth,Watford,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9859,0,2,0,0,0,0,0,0.6,57,-1,0,3,1,0,0,0,0,0,0,0,0,0,636,0,0,0,0,122,5,0,0,6,Man City,Chelsea,Leicester,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,2,35,3.5,7E-07,7E-06,0,61934,0,19,0,34,0,0,0,7,3589,0,0,35,0,1.1,0,5.3,3,0,3,0,0,2.8,50887,0,356,0,0,900,1628,0,0,189,Stoke,Tottenham,Man Utd,Arsenal,Liverpool,4.8,3.5,2.5,4.7,4.1,4.7,3.9,3.5,2,3.6,4.7,3.2,3.4,3.7,4.1,3.3,3.9,3.1,4.1,3.9,4.6,3.8,3.4,4,4.1,4.7,5.2,2.9
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,384,0,0,0,0,0,0,0,0,13,-1,0,0,1,0,0,0,0,0,0,0,0,0,134,0,270,0,0,0,11,0,0,0,West Ham,Bournemouth,Watford,Burnley,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,6,1,1.78571428571429E-07,1.07142857142857E-06,0,20234,0,0,0,0,0,0,0,1.1,577,-4,0,6,4,0.2,0,1,0,0,0,0,0,0.3,4403,0,146,0,0,70,666,0,0,9,Sunderland,Stoke,Arsenal,Liverpool,Burnley,0.9,0.5,0.5,0.8,0.5,0.9,0.7,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.8,0.5,0.5,0.8,0.7,0.5,0.5,0.6,0.5,0.6,0.5,0.7,0.8,0.5
Sergio,Aguero,FWD,MCI,13100000,16,55,6.9,5.26717557251908E-07,4.19847328244275E-06,0,1400910,1,8,0,0,0,7,0,4.2,5759,1,-1,55,-1,0.4,1,5.3,12,0,1,0,1,46.3,1507234,0,789,0,3,654,170633,1,0,220,Middlesbrough,Crystal Palace,Burnley,Chelsea,Leicester,9,9.3,8.1,9.3,7.9,9.1,8.4,9.7,8.5,10.4,8.1,9.3,8.5,9.1,7.5,9.3,8.7,9.5,9.9,8.9,8,8.8,8.8,9.1,9.1,9.1,10.4,8.6
Ola,Aina,DEF,CHE,4700000,0,1,0.0333333333333333,7.09219858156028E-09,2.12765957446809E-07,0,4118,0,0,0,0,0,0,0,0.2,94,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,354,0,0,0,0,9,31,0,0,3,Everton,Middlesbrough,Tottenham,Man City,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4200000,0,2,0.0666666666666667,1.58730158730159E-08,4.76190476190476E-07,0,38102,0,2,0,0,0,0,0,0.5,1483,-3,1,2,3,0,0,0,0,0,0,0,0,1,4740,0,232,0,0,15,431,-1,0,6,Sunderland,Stoke,Arsenal,Liverpool,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,8164,0,0,0,0,0,0,0,0,137,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1064,0,0,0,0,0,18,0,0,0,Tottenham,Man Utd,Bournemouth,West Ham,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
