FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,250,0,0,0,2,0,0,0,Leicester,Stoke,West Brom,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,2,5,0.151515151515152,3.22372662798195E-08,1.06382978723404E-06,0,3446,2,3,0,0,0,0,0,1.1,149,-3,0,5,3,0.3,0,1.3,0,0,0,0,0,0.1,1501,0,109,0,0,231,434,0,0,21,Bournemouth,Watford,Burnley,Arsenal,Southampton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9900,0,2,0,0,0,0,0,0.6,41,-1,0,3,1,0,0,0,0,0,0,0,0,0,639,0,0,0,0,122,3,0,0,6,Chelsea,Leicester,Hull City,Southampton,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,2,37,3.4,6.8E-07,7.4E-06,0,66283,1,20,0,37,0,0,0,7.4,4308,0,0,37,0,0.7,0,3.3,3,0,3,0,0,2.7,51861,0,356,0,0,990,956,0,0,198,Tottenham,Man Utd,Arsenal,Liverpool,Burnley,3.2,2.3,4.6,3.9,4.3,3.8,3.4,1.9,3.2,4.3,3.2,3.2,3.4,4,3.1,3.8,3.2,3.8,3.6,4.5,3.7,3,4.2,3.9,4.4,5.1,2.5
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,402,0,0,0,0,0,0,0,0,18,-1,0,0,1,0,0,0,0,0,0,0,0,0,144,0,270,0,0,0,10,0,0,0,Bournemouth,Watford,Burnley,Arsenal,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,7,1,1.78571428571429E-07,1.25E-06,0,20816,0,1,0,0,0,0,0,1.3,579,-4,0,7,4,0.2,0,1,0,0,0,0,0,0.3,4858,0,146,0,0,115,441,0,0,13,Stoke,Arsenal,Liverpool,Burnley,Leicester,0.5,0.5,0.9,0.5,0.9,0.7,0.5,0.5,0.5,0.5,0.6,0.7,0.5,0.7,0.5,0.5,0.8,0.7,0.5,0.5,0.6,0.5,0.6,0.5,0.7,0.8,0.5
Sergio,Aguero,FWD,MCI,13200000,6,61,6.8,5.15151515151515E-07,4.62121212121212E-06,0,1428362,2,8,0,0,0,8,0,4.7,27397,2,-1,61,-2,0.6,1,7.7,13,0,2,0,1,46.8,1561331,0,789,0,3,743,52406,1,0,243,Crystal Palace,Burnley,Chelsea,Leicester,Watford,9.3,8.1,8.9,8,9.3,8.2,9.4,8.4,10.2,8.1,9.3,8.5,8.8,7.7,9,8.9,9.2,9.8,9.1,7.6,8.8,8.7,8.8,9,8.9,10.2,8.6
Ola,Aina,DEF,CHE,4700000,0,1,0.0303030303030303,6.44745325596389E-09,2.12765957446809E-07,0,4206,0,0,0,0,0,0,0,0.2,88,-3,0,1,3,0,0,0,0,0,0,0,0,0.1,386,0,0,0,0,9,32,0,0,3,Middlesbrough,Tottenham,Man City,West Brom,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4200000,0,2,0.0606060606060606,1.44300144300144E-08,4.76190476190476E-07,0,39370,0,2,0,0,0,0,0,0.5,1250,-3,0,2,3,0,0,0,0,0,0,0,0,0.9,5178,0,232,0,0,15,432,0,0,6,Stoke,Arsenal,Liverpool,Burnley,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8307,0,0,0,0,0,0,0,0,142,-4,1,0,4,0,0,0,0,0,0,0,0,0.1,1115,0,0,0,0,0,51,-1,0,0,Man Utd,Bournemouth,West Ham,Stoke,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
