FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,250,0,0,0,1,0,0,0,Stoke,West Brom,Everton,Man City,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,1,6,0.166666666666667,3.54609929078014E-08,1.27659574468085E-06,0,3605,3,4,0,0,0,0,0,1.3,157,-3,0,6,3,0.4,0,1.7,0,0,0,0,0,0.1,1654,0,109,0,0,321,137,0,0,36,Watford,Burnley,Arsenal,Southampton,Leicester,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9921,0,2,0,0,0,0,0,0.6,20,-1,0,3,1,0,0,0,0,0,0,0,0,0,649,0,0,0,0,122,10,0,0,6,Leicester,Hull City,Southampton,Liverpool,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4900000,0,37,3.4,6.93877551020408E-07,7.55102040816327E-06,0,71714,1,20,0,37,0,0,0,7.4,5249,-1,1,37,1,0.3,0,1.3,3,0,3,0,0,2.5,52088,0,356,0,0,990,197,-1,0,198,Man Utd,Arsenal,Liverpool,Burnley,Hull City,2.5,4.6,3.9,4.5,4,3.6,2,3.2,4.2,3.4,3.3,3.5,4,3.1,3.6,3.4,3.8,3.6,4.4,3.8,2.5,4.2,4.2,4.1,5.1,2.5
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,410,0,0,0,0,0,0,0,0,8,-1,0,0,1,0,0,0,0,0,0,0,0,0,153,0,270,0,0,0,9,0,0,0,Watford,Burnley,Arsenal,Southampton,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,8,1,1.78571428571429E-07,1.42857142857143E-06,0,21270,0,1,0,0,0,0,0,1.4,429,-4,0,8,4,0.2,0,1,0,0,0,0,0,0.3,4994,0,146,0,0,137,124,0,0,12,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.5,0.8,0.5,0.8,0.6,0.5,0.5,0.5,0.6,0.6,0.7,0.5,0.7,0.5,0.5,0.8,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.9,0.5
Sergio,Aguero,FWD,MCI,13100000,2,63,6.3,4.80916030534351E-07,4.80916030534351E-06,0,1551856,2,9,0,0,0,8,0,4.8,122618,1,1,63,-1,0.6,1,8,13,0,2,0,1,43.9,1571487,0,789,0,3,828,8304,-1,0,247,Burnley,Chelsea,Leicester,Watford,Arsenal,0,7.7,7.5,8.5,7.6,8.5,7.8,9.4,7.5,8.5,7.9,8.1,6.9,8.1,8,8.3,9.1,8.2,6.9,8.3,8,8.4,8.5,8.2,9.4,7.8
Ola,Aina,DEF,CHE,4600000,0,1,0.0277777777777778,6.03864734299517E-09,2.17391304347826E-07,0,4268,0,0,0,0,0,0,0,0.2,59,-4,1,1,4,0,0,0,0,0,0,0,0,0.1,404,0,0,0,0,9,18,-1,0,3,Tottenham,Man City,West Brom,Sunderland,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4200000,15,17,0.472222222222222,1.12433862433862E-07,4.04761904761905E-06,0,40471,0,2,0,0,0,1,0,4,1051,-3,0,17,3,1.2,0,5,3,0,1,0,0,1.5,25779,0,232,0,1,105,20585,0,0,52,Arsenal,Liverpool,Burnley,Leicester,Southampton,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8359,0,0,0,0,0,0,0,0,49,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1129,0,0,0,0,0,13,0,0,0,Bournemouth,West Ham,Stoke,Everton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
