FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,144,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,250,0,0,0,4,0,0,0,Everton,Man City,Sunderland,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,3,15,0.357142857142857,7.59878419452888E-08,3.19148936170213E-06,0,4233,3,4,0,0,0,0,0,3.2,466,-3,0,15,3,0.7,0,3.3,0,0,2,0,1,0.1,3481,0,109,0,0,497,530,0,0,62,Arsenal,Southampton,Leicester,Liverpool,Chelsea,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9990,0,2,0,0,0,0,0,0.6,34,-1,0,3,1,0,0,0,0,0,0,0,0,0,672,0,0,0,0,122,11,0,0,6,Southampton,Liverpool,Swansea,Burnley,Man Utd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4900000,0,37,3.4,6.93877551020408E-07,7.55102040816327E-06,0,81368,1,20,0,37,0,0,0,7.6,4427,-1,0,37,1,0,0,0,3,0,3,0,0,2.3,52747,0,356,0,0,990,203,0,0,198,Liverpool,Burnley,Hull City,Swansea,Leicester,4,4.5,4.1,3.4,2.1,3.1,3.9,3.3,3.2,3.4,4.1,3.3,3.4,3.3,3.6,3.6,4.5,3.6,2.6,4.3,4.3,4,5.1,2.8
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,441,0,0,0,0,0,0,0,0,17,-1,0,0,1,0,0,0,0,0,0,0,0,0,185,0,270,0,0,0,17,0,0,0,Arsenal,Southampton,Leicester,Liverpool,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,4,13,1.3,2.32142857142857E-07,2.32142857142857E-06,0,22064,0,2,0,0,0,0,0,2.3,350,-4,0,13,4,0.4,0,2,0,0,0,0,1,0.3,6081,0,146,0,0,181,901,0,0,19,Burnley,Leicester,Southampton,Chelsea,Swansea,0.6,1.3,1,0.6,0.8,0.8,0.9,0.9,1,0.6,1,0.6,0.6,1.2,1.2,0.6,0.6,0.8,0.6,0.8,0.6,0.8,1.3,0.6
Sergio,Aguero,FWD,MCI,12900000,-1,74,6.2,4.8062015503876E-07,5.73643410852713E-06,0,2536376,3,13,0,0,0,10,0,5.7,941201,-1,2,74,1,0.3,1,4.3,16,0,2,0,1,21.5,1628106,0,789,0,4,1006,1300,-2,1,284,Leicester,Watford,Arsenal,Hull City,Liverpool,0,0,0,0,7.7,9.3,7.4,8.5,8.2,8.1,7.2,7.9,7.8,7.7,9,8.3,7.2,8.2,7.6,8,8.2,8.2,9.2,8.1
Ola,Aina,DEF,CHE,4600000,0,1,0.0238095238095238,5.175983436853E-09,2.17391304347826E-07,0,4372,0,0,0,0,0,0,0,0.2,52,-4,0,1,4,0,0,0,0,0,0,0,0,0.1,440,0,0,0,0,9,21,0,0,3,West Brom,Sunderland,Crystal Palace,Bournemouth,Stoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4300000,7,25,0.595238095238095,1.38427464008859E-07,5.81395348837209E-06,0,45036,0,8,0,0,0,2,0,6,2151,-2,-1,25,2,1.8,0,7.7,3,0,1,0,0,3.3,100178,0,232,0,1,285,57945,1,0,97,Burnley,Leicester,Southampton,Chelsea,Swansea,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8473,0,0,0,0,0,0,0,0,59,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1151,0,0,0,0,0,14,0,0,0,Stoke,Everton,Man City,West Brom,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc,Albrighton,MID,LEI,5000000,2,24,2.2,4.4E-07,4.8E-06,0,55319,1,14,0,0,0,0,0,4.8,1124,-5,0,24,5,0.3,0,1.7,0,0,4,0,0,0.7,9064,0,519,0,0,771,135,0,0,109,Man City,Bournemouth,Stoke,Everton,West Ham,1.4,1.1,1.1,2.2,1.8,1.3,1.5,1.1,1.1,2,1.2,1.4,1.9,1.1,1.1,1.7,2.7,1.1,1.1,1.7,1.1,2.1,1.1,2.2
Toby,Alderweireld,DEF,TOT,6300000,0,31,3.9,6.19047619047619E-07,4.92063492063492E-06,0,568550,0,3,0,0,0,0,0,4.9,7532,-2,0,31,2,0,0,0,0,0,4,0,0,9.9,72507,0,598,0,0,689,1753,0,0,157,Man Utd,Hull City,Burnley,Southampton,Watford,2.9,5.1,5.5,3.9,3.8,4.4,5.1,3.5,2.9,4.6,4.3,5.5,5.4,4,5.6,3.2,3.8,4.9,5.8,2.4,5.4,4.6,4,4.1
Trent,Alexander-Arnold,MID,LIV,4400000,0,0,0,0,0,0,1009,0,0,0,0,0,0,0,0,42,-1,0,0,1,0,0,0,0,0,0,0,0,0,860,0,0,0,0,0,36,0,0,0,West Ham,Middlesbrough,Everton,Stoke,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
