FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,250,0,0,0,2,0,0,0,Sunderland,Crystal Palace,Tottenham,Stoke,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,3,27,0.5625,1.1968085106383E-07,5.74468085106383E-06,0,5738,3,7,0,0,0,1,0,5.7,1039,-3,0,27,3,0.9,0,4.4,2,0,3,0,1,0.4,17564,0,109,0,0,664,7173,0,0,100,Leicester,Liverpool,Chelsea,Watford,Sunderland,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,10025,0,2,0,0,0,0,0,0.6,18,-1,0,3,1,0,0,0,0,0,0,0,0,0,696,0,0,0,0,122,16,0,0,6,Swansea,Burnley,Man Utd,Leicester,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4800000,0,37,3.4,7.08333333333333E-07,7.70833333333333E-06,0,87777,1,20,0,37,0,0,0,7.7,3360,-2,0,37,2,0,0,0,3,0,3,0,0,2.2,53812,0,356,0,0,990,612,0,0,198,Hull City,Swansea,Leicester,Man Utd,Crystal Palace,4.3,2.9,1.9,3.3,3.9,3.3,3.6,3.4,4.1,3,3.6,3,3.7,3.5,4.3,3.7,2.6,4.3,4.2,4.5,4.8,2.7
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,465,0,0,0,0,0,0,0,0,10,-1,0,0,1,0,0,0,0,0,0,0,0,0,211,0,270,0,0,0,16,0,0,0,Leicester,Liverpool,Chelsea,Watford,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,5,25,2.1,3.75E-07,4.46428571428571E-06,0,23197,0,5,0,0,0,1,0,4.5,761,-4,0,25,4,0.6,0,3.6,1,0,1,0,2,0.6,18682,0,146,0,0,338,9369,0,0,58,Southampton,Chelsea,Swansea,Arsenal,Hull City,2.1,1,1.5,1.9,1.8,2.1,2.3,1,2.2,1.1,1.1,2.5,2.4,1,1.2,1.7,1,2,1.3,1.9,2.7,1.2
Sergio,Aguero,FWD,MCI,12800000,0,74,6.2,4.84375E-07,5.78125E-06,0,2674933,3,13,0,0,0,10,0,5.7,41077,-2,1,74,2,0.2,1,2.6,16,0,2,0,1,18.1,1629003,0,789,0,4,1006,465,-1,1,284,Arsenal,Hull City,Liverpool,Burnley,Everton,0,0,7.7,9.3,7.2,8.9,7.8,8.6,6.5,8.2,7.6,8,8.9,8,6.7,8.6,6.9,8.5,8.2,8.3,9.3,7.8
Ola,Aina,DEF,CHE,4600000,0,1,0.0208333333333333,4.52898550724638E-09,2.17391304347826E-07,0,4451,0,0,0,0,0,0,0,0.2,42,-4,0,1,4,0,0,0,0,0,0,0,0,0.1,475,0,0,0,0,9,15,0,0,3,Crystal Palace,Bournemouth,Stoke,Tottenham,Leicester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4400000,8,34,0.708333333333333,1.60984848484849E-07,7.72727272727273E-06,0,50768,0,11,0,0,0,2,0,7.9,1684,-1,-1,34,1,1.5,0,6.4,5,0,2,0,0,5.1,178367,0,232,0,1,465,53499,1,0,153,Southampton,Chelsea,Swansea,Arsenal,Hull City,0.5,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8540,0,0,0,0,0,0,0,0,33,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1174,0,0,0,0,0,9,0,0,0,Man City,West Brom,Crystal Palace,Bournemouth,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
