FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,250,0,0,0,3,0,0,0,Tottenham,Stoke,Middlesbrough,Bournemouth,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,0,28,0.518518518518518,1.10323089046493E-07,5.95744680851064E-06,0,11971,3,8,0,0,0,1,0,6,2685,-3,0,28,3,0.7,0,3.2,2,0,3,0,1,0.4,24226,0,109,0,0,672,1363,0,0,105,Chelsea,Watford,Sunderland,Man Utd,Everton,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,10050,0,2,0,0,0,0,0,0.6,7,-1,0,3,1,0,0,0,0,0,0,0,0,0,709,0,0,0,0,122,3,0,0,6,Man Utd,Leicester,Watford,West Ham,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4700000,0,37,3.4,7.23404255319149E-07,7.87234042553191E-06,0,94194,1,20,0,37,0,0,0,7.9,2606,-3,1,37,3,0,0,0,3,0,3,0,0,2,54191,0,356,0,0,990,199,-1,0,198,Leicester,Man Utd,Crystal Palace,Middlesbrough,Man City,2.1,3.1,4,3.1,3.7,3.7,4.2,2.9,3.6,3.2,3.5,3.5,4.2,3.8,2.5,4,4.1,4.4,4.6,2.5
Ibrahim,Afellay,MID,STK,5400000,1,1,0.0185185185185185,3.42935528120713E-09,1.85185185185185E-07,0,504,0,0,0,0,0,0,0,0.2,18,-1,0,1,1,0,0,0.2,0,0,0,0,0,0,327,0,270,0,0,16,92,0,0,3,Chelsea,Watford,Sunderland,Man Utd,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,27,1.9,3.39285714285714E-07,4.82142857142857E-06,0,29993,0,7,0,0,0,1,0,4.8,2645,-4,0,27,4,0.6,0,3.6,1,0,1,0,2,0.6,25327,0,146,0,0,390,2952,0,0,59,Swansea,Arsenal,Hull City,Watford,Crystal Palace,1.4,1.7,1.6,1.9,1.9,1,1.8,1,1,2,2.2,1,1,1.4,1,1.7,1,1.7,2.3,1.1
Sergio,Aguero,FWD,MCI,12800000,0,74,6.2,4.84375E-07,5.78125E-06,0,2715552,3,13,0,0,0,10,0,5.8,6497,-2,0,74,2,0,1,-0.2,16,0,2,0,1,18.4,1685329,0,789,0,4,1006,52133,0,1,284,Liverpool,Burnley,Everton,Tottenham,West Ham,7.9,9.3,7.4,8.7,7.9,8.5,6.9,7.9,7.6,8.2,8.7,7.9,6.7,8.5,7.4,8.5,7.9,8.1,9.1,7.8
Ola,Aina,DEF,CHE,4600000,1,2,0.037037037037037,8.05152979066022E-09,4.34782608695652E-07,0,4528,0,0,0,0,0,0,0,0.4,27,-4,0,2,4,0,0,0.2,0,0,0,0,0,0.1,510,0,0,0,0,10,16,0,0,6,Stoke,Tottenham,Leicester,Hull City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4400000,0,42,0.777777777777778,1.76767676767677E-07,9.54545454545455E-06,0,71565,0,14,0,0,0,3,0,9.5,3316,-1,0,42,1,1.1,0,4.8,6,0,2,0,0,6.5,255249,0,232,0,1,555,53952,0,0,183,Swansea,Arsenal,Hull City,Watford,Crystal Palace,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.5,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8629,0,0,0,0,0,0,0,0,34,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1212,0,0,0,0,0,18,0,0,0,Crystal Palace,Bournemouth,Swansea,Burnley,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
