FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,250,0,0,0,0,0,0,0,Bournemouth,Arsenal,Burnley,Man Utd,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,4,44,0.698412698412698,1.48598446470787E-07,9.36170212765957E-06,0,21892,5,13,0,0,0,1,0,9.4,1214,-3,0,44,3,0.9,0,4,4,0,4,0,4,0.8,47899,0,109,0,1,912,1145,0,0,160,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,10123,0,2,0,0,0,0,0,0.6,7,-1,0,3,1,0,0,0,0,0,0,0,0,0,764,0,0,0,0,122,3,0,0,6,West Ham,West Brom,Tottenham,Everton,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,4700000,0,37,3.4,7.23404255319149E-07,7.87234042553191E-06,0,100863,1,20,0,37,0,0,0,7.9,635,-3,0,37,3,0,0,0,3,0,3,0,0,1.9,54776,0,356,0,0,990,28,0,0,198,Middlesbrough,Man City,Southampton,West Brom,Watford,3.1,4,3.6,4.2,2.9,3.8,3.2,3.6,3.3,3.9,3.8,2.4,4,3.6,4.3,4.8,2.3
Ibrahim,Afellay,MID,STK,5400000,1,5,0.0793650793650794,1.46972369194591E-08,9.25925925925926E-07,0,698,0,2,0,0,0,0,0,0.9,32,-1,0,5,1,0.2,0,1.3,0,0,0,0,0,0,705,0,270,0,0,123,17,0,0,19,Man Utd,Everton,West Brom,Crystal Palace,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,34,2.1,3.75E-07,6.07142857142857E-06,0,41918,0,9,0,0,0,2,0,6.1,1495,-4,0,34,4,0.3,0,1.8,1,0,2,0,2,0.7,43832,0,146,0,0,534,811,0,0,85,Watford,Crystal Palace,Everton,Man City,West Brom,2.1,2.3,1,2.2,1.3,1.2,2.3,2.3,1.2,1.3,1.5,1,1.9,1.3,1.9,2.6,1.4
Sergio,Aguero,FWD,MCI,12800000,2,85,5.7,4.453125E-07,6.640625E-06,0,2779634,3,19,0,0,0,11,0,6.6,20119,-2,0,85,2,0.2,1,2.2,18,0,2,0,1,22.1,1911527,0,789,0,4,1231,4981,0,1,313,Tottenham,West Ham,Swansea,Bournemouth,Man Utd,7.9,6.8,7.8,6.3,7.2,6.7,7.7,8.4,6.5,5.2,8.2,6.4,8.1,6.4,7.9,8.5,6.6
Ola,Aina,DEF,CHE,4600000,0,2,0.0317460317460317,6.90131124913734E-09,4.34782608695652E-07,0,4615,0,0,0,0,0,0,0,0.4,11,-4,0,2,4,0.1,0,0.3,0,0,0,0,0,0.1,551,0,0,0,0,10,12,0,0,6,Hull City,Liverpool,Arsenal,Burnley,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,CHE,4300000,0,51,0.809523809523809,1.88261351052049E-07,1.18604651162791E-05,0,222998,0,17,0,0,0,3,0,11.9,45583,-2,1,51,2,0.8,0,3.4,8,0,3,0,0,7.5,443977,0,232,0,2,735,3247,-1,0,236,Hull City,Liverpool,Arsenal,Burnley,Swansea,0.5,0.4,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.4,0.4,0.4
Chuba,Akpom,FWD,ARS,5100000,0,0,0,0,0,0,8738,0,0,0,0,0,0,0,0,13,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,1287,0,0,0,0,0,14,0,0,0,Burnley,Watford,Chelsea,Hull City,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
