FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW6Forecast,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,250,0,0,0,7,0,0,0,Burnley,Bournemouth,Middlesbrough,Swansea,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4800000,0,0,0,0,0,0,2534,1,0,0,0,0,0,0,0,335,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,498,0,109,0,0,20,65,0,0,-1,West Brom,Man Utd,Sunderland,Hull City,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9275,0,2,0,0,0,0,0,0.6,613,-1,0,3,1,0,0,0,0,0,0,0,0,0.1,625,0,0,0,0,122,0,0,0,6,Tottenham,West Ham,Watford,Arsenal,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,0,14,2.8,5.6E-07,2.8E-06,0,39027,0,13,0,18,0,0,0,2.8,12766,0,0,14,0,0.2,0,1,2,0,1,0,0,3.2,43726,0,356,0,0,450,1730,0,0,85,Southampton,Middlesbrough,Crystal Palace,Sunderland,Everton,4.2,2.5,2.7,3.1,1.7,4,1.9,1.4,4,2.7,3.7,2.3,2.5,1.4,2.1,3.9,1.6,2.6,2.5,3.1,2,2.7,2.1,3.2,2.6,3.3,3,2.4,2.5,3.3,3.2,4.2,1.4
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,298,0,0,0,0,0,0,0,0,17,-1,0,0,1,0,0,0,0,0,0,0,0,0,64,0,270,0,0,0,10,0,0,0,West Brom,Man Utd,Sunderland,Hull City,Swansea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5700000,0,1,0.0666666666666667,1.16959064327485E-08,1.75438596491228E-07,0,16677,0,0,0,0,0,0,0,0.2,1849,-3,1,1,3,0,0,0,0,0,0,0,0,0.3,2436,0,146,0,0,23,284,-1,0,-1,Everton,Watford,Hull City,Tottenham,Middlesbrough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sergio,Aguero,FWD,MCI,13000000,0,24,8,6.15384615384615E-07,1.84615384615385E-06,0,1210494,0,3,0,0,0,3,0,1.9,36692,0,0,24,0,0.1,0,0.7,6,0,0,0,0,32.6,762733,0,789,0,1,259,430098,0,0,96,Swansea,Tottenham,Everton,Southampton,West Brom,11.2,9.3,10.3,12,10.4,10.7,10,8.8,11.2,9,10.5,10.5,12,9.2,12,10.4,10.5,9.2,10.3,9,10.9,10.8,10.5,12,10.9,10.1,9.5,8.8,10.9,10.6,11.3,12,10.9
Ola,Aina,DEF,CHE,4800000,0,0,0,0,0,0,3540,0,0,0,0,0,0,0,0,291,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,225,0,0,0,0,0,21,0,0,0,Arsenal,Hull City,Leicester,Man Utd,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4400000,0,2,0.133333333333333,3.03030303030303E-08,4.54545454545455E-07,0,28300,0,2,0,0,0,0,0,0.5,4326,-1,0,2,1,0.1,0,0.3,0,0,0,0,0,1.2,3269,0,232,0,0,15,343,0,0,6,Everton,Watford,Hull City,Tottenham,Middlesbrough,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,6925,0,0,0,0,0,0,0,0,475,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,791,0,0,0,0,0,168,-1,0,0,Chelsea,Burnley,Swansea,Middlesbrough,Sunderland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
