FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW7Forecast,GW8Forecast,GW9Forecast,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,250,0,0,0,5,0,0,0,Bournemouth,Middlesbrough,Swansea,Hull City,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,0,0,0,0,0,0,2736,2,1,0,0,0,0,0,0,191,-3,1,0,3,0,0,0,0,0,0,0,0,0.1,569,0,109,0,0,25,67,-1,0,-3,Man Utd,Sunderland,Hull City,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9500,0,2,0,0,0,0,0,0.6,192,-1,0,3,1,0,0,0,0,0,0,0,0,0,627,0,0,0,0,122,2,0,0,6,West Ham,Watford,Arsenal,Bournemouth,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,3,17,2.8,5.6E-07,3.4E-06,0,46235,0,16,0,24,0,0,0,3.4,6838,0,0,17,0,0.3,0,1.3,2,0,1,0,0,3.1,45005,0,356,0,0,540,1206,0,0,106,Middlesbrough,Crystal Palace,Sunderland,Everton,Stoke,2.3,2.9,2.7,1.9,3.9,2.4,1.6,3.9,3.1,4,2.4,2.8,1.5,2,3.3,2.2,2.2,2.6,2.7,2.2,3,2.5,3.2,2.8,3.5,2.6,2.4,2.8,3.5,3,4.2,1.7
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,317,0,0,0,0,0,0,0,0,19,-1,0,0,1,0,0,0,0,0,0,0,0,0,76,0,270,0,0,0,12,0,0,0,Man Utd,Sunderland,Hull City,Swansea,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5700000,1,2,0.111111111111111,1.94931773879142E-08,3.50877192982456E-07,0,17676,0,0,0,0,0,0,0,0.4,948,-3,0,2,3,0.1,0,0.3,0,0,0,0,0,0.3,2723,0,146,0,0,24,277,0,0,2,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sergio,Aguero,FWD,MCI,13000000,13,37,9.3,7.15384615384615E-07,2.84615384615385E-06,0,1218639,0,4,0,0,0,5,0,2.8,7795,0,0,37,0,0.3,0,4.3,9,0,0,0,0,41.8,1127293,0,789,0,2,349,345654,0,0,153,Tottenham,Everton,Southampton,West Brom,Middlesbrough,11.7,13.5,13.6,12.1,12.3,12.1,9.9,13.9,10.4,12.9,12.7,13.4,10.7,14,11.3,13.1,11.6,11.9,10.1,12.8,12.3,12.7,14,12,11,11.7,11.2,12.7,12.5,12.7,14,11.9
Ola,Aina,DEF,CHE,4800000,0,0,0,0,0,0,3700,0,0,0,0,0,0,0,0,148,-2,0,0,2,0,0,0,0,0,0,0,0,0.1,248,0,0,0,0,0,21,0,0,0,Hull City,Leicester,Man Utd,Southampton,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4300000,0,2,0.111111111111111,2.58397932816537E-08,4.65116279069767E-07,0,31021,0,2,0,0,0,0,0,0.5,2580,-2,1,2,2,0,0,0,0,0,0,0,0,1.1,3674,0,232,0,0,15,397,-1,0,6,Watford,Hull City,Tottenham,Middlesbrough,Sunderland,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,7257,0,0,0,0,0,0,0,0,306,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,949,0,0,0,0,0,156,0,0,0,Burnley,Swansea,Middlesbrough,Sunderland,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
