FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW10Forecast,GW11Forecast,GW12Forecast,GW13Forecast,GW14Forecast,GW15Forecast,GW16Forecast,GW17Forecast,GW18Forecast,GW19Forecast,GW20Forecast,GW21Forecast,GW22Forecast,GW23Forecast,GW24Forecast,GW25Forecast,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast
Almen,Abdi,MID,WAT,5000000,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,250,0,0,0,4,0,0,0,Hull City,Liverpool,Leicester,Stoke,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlie,Adam,MID,STK,4700000,0,1,0.037037037037037,7.88022064617809E-09,2.12765957446809E-07,0,3158,2,1,0,0,0,0,0,0.2,119,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,772,0,109,0,0,51,49,0,0,-4,Swansea,West Ham,Bournemouth,Watford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert,Adomah,MID,MID,5400000,0,3,1.5,2.77777777777778E-07,5.55555555555556E-07,0,9800,0,2,0,0,0,0,0,0.6,51,-1,0,3,1,0,0,0,0,0,0,0,0,0,631,0,0,0,0,122,2,0,0,6,Bournemouth,Man City,Chelsea,Leicester,Hull City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Adrian,GLK,WHU,5000000,6,33,3.7,7.4E-07,6.6E-06,0,58213,0,17,0,30,0,0,0,6.6,2650,0,0,33,0,1.1,0,5.3,3,0,3,0,0,2.8,49225,0,356,0,0,810,860,0,0,171,Everton,Stoke,Tottenham,Man Utd,Arsenal,3.2,5,4.1,2.8,4.9,4.4,5.1,3.9,4,2.4,3.7,4.9,3.9,3.9,3.8,4.4,3.9,4.3,3.5,4.6,4.6,5,3.9,3.9,4.2,4.8,5.2,5.4,3.1
Ibrahim,Afellay,MID,STK,5400000,0,0,0,0,0,0,371,0,0,0,0,0,0,0,0,14,-1,0,0,1,0,0,0,0,0,0,0,0,0,123,0,270,0,0,0,9,0,0,0,Swansea,West Ham,Bournemouth,Watford,Burnley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benik,Afobe,FWD,BOU,5600000,1,5,0.185185185185185,3.30687830687831E-08,8.92857142857143E-07,0,19637,0,0,0,0,0,0,0,0.9,433,-4,0,5,4,0.2,0,1,0,0,0,0,0,0.3,3719,0,146,0,0,39,349,0,0,12,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sergio,Aguero,FWD,MCI,13000000,1,39,5.6,4.30769230769231E-07,3E-06,0,1390819,1,8,0,0,0,5,0,3,91876,0,1,39,0,0.1,1,0.7,9,0,0,0,0,42.3,1335862,0,789,0,2,564,14329,-1,0,143,West Brom,Middlesbrough,Crystal Palace,Burnley,Chelsea,6.9,6.9,7.3,5.9,7.7,5.6,7.1,6.3,7.9,6.6,8.4,6.1,7.3,6.9,7.5,5.1,7.5,6.8,7.5,8.3,6.3,5.6,7.2,6,7.7,7.2,7.6,8.4,6.8
Ola,Aina,DEF,CHE,4700000,0,1,0.037037037037037,7.88022064617809E-09,2.12765957446809E-07,0,4022,0,0,0,0,0,0,0,0.2,68,-3,0,1,3,0.1,0,0.3,0,0,0,0,0,0.1,322,0,0,0,0,9,23,0,0,3,Southampton,Everton,Middlesbrough,Tottenham,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathan,Ake,DEF,BOU,4300000,0,2,0.0740740740740741,1.72265288544358E-08,4.65116279069767E-07,0,36551,0,2,0,0,0,0,0,0.5,1450,-2,0,2,2,0,0,0,0,0,0,0,0,1,4300,0,232,0,0,15,120,0,0,6,Middlesbrough,Sunderland,Stoke,Arsenal,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuba,Akpom,FWD,ARS,5200000,0,0,0,0,0,0,8023,0,0,0,0,0,0,0,0,145,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1046,0,0,0,0,0,14,0,0,0,Sunderland,Tottenham,Man Utd,Bournemouth,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
